x,y
-15.381001038065996,-27.4
-14.807197495140182,-27.4
-14.607217245420186,-27.3
-15.485221865915243,-27.3
-15.551806920685669,-27.2
-14.448824379713903,-27.2
-14.30985914328607,-27.1
-15.60067320039652,-27.1
-15.63849580301545,-27.0
-14.182272965968105,-27.0
-14.063420870672603,-26.9
-15.66845899106706,-26.9
-15.692908508636497,-26.8
-13.951091831051205,-26.8
-13.843599921968929,-26.7
-15.712902410753863,-26.7
-15.729283229475831,-26.6
-13.740132797729741,-26.6
-13.640054939099443,-26.5
-15.741950838146165,-26.5
-15.75208586134136,-26.4
-13.54286390123803,-26.4
-13.448155813054749,-26.3
-15.76013453623851,-26.3
-15.766450439559822,-26.2
-13.355604973820224,-26.2
-13.265007738332134,-26.1
-15.77018935944318,-26.1
-15.772651099520937,-26.0
-13.176464769209185,-26.0
-13.089410779234413,-25.9
-15.773985530931293,-25.9
-15.773262266507617,-25.8
-13.003683781996248,-25.8
-12.919146573430409,-25.7
-15.771889980249965,-25.7
-15.769043535140934,-25.6
-12.836039676553497,-25.6
-12.754101497395924,-25.5
-15.765301461961851,-25.5
-15.760625314446301,-25.4
-12.67302848561235,-25.4
-12.59286609156184,-25.3
-15.754896640943915,-25.3
-15.748538079131418,-25.2
-12.513905184805918,-25.2
-12.435584935930379,-25.1
-15.741140498094746,-25.1
-15.733228126421835,-25.0
-12.357980042550198,-25.0
-12.281412700022457,-24.9
-15.72442655690172,-24.9
-15.715075121758218,-24.8
-12.205414070141208,-24.8
-12.130315980219486,-24.7
-15.70509226140876,-24.7
-15.694404050011,-24.6
-12.055217890297765,-24.6
-11.981706667711077,-24.5
-15.683428005769652,-24.5
-15.671494641799066,-24.4
-11.908337834750604,-24.4
-11.834969001790132,-24.3
-15.65956127782848,-24.3
-15.64658965301784,-24.2
-11.76262875115304,-24.2
-11.691042185248246,-24.1
-15.633494204732209,-24.1
-15.61990004533429,-24.0
-11.619455619343452,-24.0
-11.548038916733246,-23.9
-15.60571632248916,-23.9
-15.59153259964403,-23.8
-11.478058395306853,-23.8
