HatchData,,HatchData,,HatchData,
MainCurve1,,MainCurve1,,MainCurve1,
X,Y,X,Y,X,Y
-9.505531609,-1.213910888,-9.5 ,-1.2 ,-10 ,-1 
-9.537237865,-1.190134779,-9.5 ,-1.2 ,-10 ,-1 
-9.602733416,-1.142894551,-9.6 ,-1.1 ,-10 ,-1 
-9.670953135,-1.09605207,-9.7 ,-1.1 ,-10 ,-1 
-9.741833316,-1.049584662,-9.7 ,-1.0 ,-10 ,-1 
-9.815308097,-1.003470326,-9.8 ,-1.0 ,-10 ,-1 
-9.891311614,-0.957686389,-9.9 ,-1.0 ,-10 ,-1 
-9.969781242,-0.912210716,-10.0 ,-0.9 ,-10 ,-1 
-10.05065112,-0.867020902,-10.1 ,-0.9 ,-10 ,-1 
-10.17631265,-0.799723276,-10.2 ,-0.8 ,-10 ,-1 
-10.35165705,-0.710784553,-10.4 ,-0.7 ,-10 ,-1 
-10.535432,-0.622587066,-10.5 ,-0.6 ,-11 ,-1 
-10.72712032,-0.534951581,-10.7 ,-0.5 ,-11 ,-1 
-10.92620049,-0.447699401,-10.9 ,-0.4 ,-11 ,0 
-11.13215532,-0.360651831,-11.1 ,-0.4 ,-11 ,0 
-11.34446439,-0.273629904,-11.3 ,-0.3 ,-11 ,0 
-11.56260834,-0.186454926,-11.6 ,-0.2 ,-12 ,0 
-11.89962769,-0.055014115,-11.9 ,-0.1 ,-12 ,0 
-12.36456415,0.122445475,-12.4 ,0.1 ,-12 ,0 
-12.84349288,0.303735959,-12.8 ,0.3 ,-13 ,0 
-13.33225906,0.490288525,-13.3 ,0.5 ,-13 ,0 
-13.70279118,0.634516349,-13.7 ,0.6 ,-14 ,1 
-13.95072281,0.733057681,-14.0 ,0.7 ,-14 ,1 
-14.19877646,0.833719341,-14.2 ,0.8 ,-14 ,1 
-14.44643384,0.936679753,-14.4 ,0.9 ,-14 ,1 
-14.6931756,1.042118153,-14.7 ,1.0 ,-15 ,1 
-14.93848132,1.150212967,-14.9 ,1.2 ,-15 ,1 
-15.18183165,1.261142891,-15.2 ,1.3 ,-15 ,1 
-15.4227083,1.375087701,-15.4 ,1.4 ,-15 ,1 
-15.66059193,1.492225283,-15.7 ,1.5 ,-16 ,1 
-15.89496319,1.612734873,-15.9 ,1.6 ,-16 ,2 
-16.06812328,1.705437007,-16.1 ,1.7 ,-16 ,2 
-16.18219604,1.768385467,-16.2 ,1.8 ,-16 ,2 
-16.29509729,1.832277613,-16.3 ,1.8 ,-16 ,2 
-16.4067644,1.897135582,-16.4 ,1.9 ,-16 ,2 
-16.51713044,1.962981506,-16.5 ,2.0 ,-17 ,2 
-16.62613277,2.029838601,-16.6 ,2.0 ,-17 ,2 
-16.73370445,2.097728461,-16.7 ,2.1 ,-17 ,2 
-16.8397807,2.16667322,-16.8 ,2.2 ,-17 ,2 
-16.94429782,2.236696093,-16.9 ,2.2 ,-17 ,2 
-17.04718994,2.307818675,-17.0 ,2.3 ,-17 ,2 
-17.14839228,2.38006418,-17.1 ,2.4 ,-17 ,2 
-17.24784004,2.453454202,-17.2 ,2.5 ,-17 ,2 
-17.34546846,2.528010876,-17.3 ,2.5 ,-17 ,3 
-17.44121275,2.603757416,-17.4 ,2.6 ,-17 ,3 
-17.53500811,2.680715417,-17.5 ,2.7 ,-18 ,3 
-17.62678869,2.758907553,-17.6 ,2.8 ,-18 ,3 
-17.71649079,2.838356499,-17.7 ,2.8 ,-18 ,3 
-17.80404853,2.91908439,-17.8 ,2.9 ,-18 ,3 
-17.88939714,3.001112819,-17.9 ,3.0 ,-18 ,3 
-17.97247183,3.084465542,-18.0 ,3.1 ,-18 ,3 
-18.05320782,3.169163612,-18.1 ,3.2 ,-18 ,3 
-18.13154032,3.255230245,-18.1 ,3.3 ,-18 ,3 
-18.20740455,3.342687574,-18.2 ,3.3 ,-18 ,3 
-18.28073465,3.431557194,-18.3 ,3.4 ,-18 ,3 
-18.35146691,3.52186286,-18.4 ,3.5 ,-18 ,4 
-18.41953546,3.613625626,-18.4 ,3.6 ,-18 ,4 
-18.48487445,3.706868707,-18.5 ,3.7 ,-18 ,4 
-18.54742341,3.801614237,-18.5 ,3.8 ,-19 ,4 
-18.60711108,3.89788435,-18.6 ,3.9 ,-19 ,4 
-18.66387698,3.995701722,-18.7 ,4.0 ,-19 ,4 
-18.71765635,4.095088486,-18.7 ,4.1 ,-19 ,4 
-18.76838222,4.196066777,-18.8 ,4.2 ,-19 ,4 
-18.81598983,4.29865927,-18.8 ,4.3 ,-19 ,4 
-18.86041438,4.402888638,-18.9 ,4.4 ,-19 ,4 
-18.9015911,4.508776478,-18.9 ,4.5 ,-19 ,5 
-18.93945519,4.616345462,-18.9 ,4.6 ,-19 ,5 
-18.97394404,4.725617725,-19.0 ,4.7 ,-19 ,5 
-19.00498853,4.836616483,-19.0 ,4.8 ,-19 ,5 
-19.03252605,4.949363328,-19.0 ,4.9 ,-19 ,5 
-19.05649182,5.063880397,-19.1 ,5.1 ,-19 ,5 
-19.07682104,5.180190903,-19.1 ,5.2 ,-19 ,5 
-19.09344893,5.298316441,-19.1 ,5.3 ,-19 ,5 
-19.10630856,5.418279146,-19.1 ,5.4 ,-19 ,5 
-19.11533729,5.540102771,-19.1 ,5.5 ,-19 ,6 
-19.12046818,5.663808371,-19.1 ,5.7 ,-19 ,6 
-19.12163645,5.789418621,-19.1 ,5.8 ,-19 ,6 
-19.11878164,5.916955656,-19.1 ,5.9 ,-19 ,6 
-19.11183247,6.046442689,-19.1 ,6.0 ,-19 ,6 
-19.1007285,6.177901315,-19.1 ,6.2 ,-19 ,6 
-19.08540276,6.311354209,-19.1 ,6.3 ,-19 ,6 
-19.06579048,6.446822966,-19.1 ,6.4 ,-19 ,6 
-19.04182688,6.584330259,-19.0 ,6.6 ,-19 ,7 
-19.01344716,6.723899843,-19.0 ,6.7 ,-19 ,7 
-18.98058656,6.865552233,-19.0 ,6.9 ,-19 ,7 
-18.94318027,7.009311183,-18.9 ,7.0 ,-19 ,7 
-18.90116352,7.155197207,-18.9 ,7.2 ,-19 ,7 
-18.85447153,7.303235141,-18.9 ,7.3 ,-19 ,7 
-18.80303735,7.453445498,-18.8 ,7.5 ,-19 ,7 
-18.74679835,7.605850953,-18.7 ,7.6 ,-19 ,8 
-18.68568976,7.76047418,-18.7 ,7.8 ,-19 ,8 
-18.61964462,7.917337855,-18.6 ,7.9 ,-19 ,8 
-18.54860032,8.076462491,-18.5 ,8.1 ,-19 ,8 
-18.47248991,8.237872924,-18.5 ,8.2 ,-18 ,8 
-18.39125077,8.401590746,-18.4 ,8.4 ,-18 ,8 
-18.30481595,8.567637553,-18.3 ,8.6 ,-18 ,9 
-18.21312066,8.73603602,-18.2 ,8.7 ,-18 ,9 
-18.11610013,8.906807741,-18.1 ,8.9 ,-18 ,9 
-18.01369066,9.07997755,-18.0 ,9.1 ,-18 ,9 
-17.96044464,9.167467401,-18.0 ,9.2 ,-18 ,9 
-17.85289567,9.343378524,-17.9 ,9.3 ,-18 ,9 
-17.63963212,9.696957755,-17.6 ,9.7 ,-18 ,10 
-17.42873319,10.05247403,-17.4 ,10.1 ,-17 ,10 
-17.22010385,10.40944254,-17.2 ,10.4 ,-17 ,10 
-17.01364802,10.76737958,-17.0 ,10.8 ,-17 ,11 
-16.80927068,11.12579817,-16.8 ,11.1 ,-17 ,11 
-16.50639357,11.66327004,-16.5 ,11.7 ,-17 ,12 
-15.91273453,12.73165009,-15.9 ,12.7 ,-16 ,13 
-15.33305155,13.78036279,-15.3 ,13.8 ,-15 ,14 
-14.95308796,14.46211297,-15.0 ,14.5 ,-15 ,14 
-14.67097952,14.96153611,-14.7 ,15.0 ,-15 ,15 
-14.4840917,15.28791362,-14.5 ,15.3 ,-14 ,15 
-14.29804175,15.60846704,-14.3 ,15.6 ,-14 ,16 
-14.11273142,15.92271482,-14.1 ,15.9 ,-14 ,16 
-13.92806677,16.23016676,-13.9 ,16.2 ,-14 ,16 
-13.74395278,16.53034345,-13.7 ,16.5 ,-14 ,17 
-13.56029228,16.82275687,-13.6 ,16.8 ,-14 ,17 
-13.37699133,17.10692327,-13.4 ,17.1 ,-13 ,17 
-13.19395276,17.38235464,-13.2 ,17.4 ,-13 ,17 
-13.0567899,17.58290649,-13.1 ,17.6 ,-13 ,18 
-12.96538075,17.71362549,-13.0 ,17.7 ,-13 ,18 
-12.87398347,17.84188919,-12.9 ,17.8 ,-13 ,18 
-12.78258512,17.96763711,-12.8 ,18.0 ,-13 ,18 
-12.69117596,18.09080662,-12.7 ,18.1 ,-13 ,18 
-12.59974413,18.21133726,-12.6 ,18.2 ,-13 ,18 
-12.50827452,18.32917073,-12.5 ,18.3 ,-13 ,18 
-12.41675847,18.4442444,-12.4 ,18.4 ,-12 ,18 
-12.32518304,18.55649781,-12.3 ,18.6 ,-12 ,19 
-12.23353526,18.66587265,-12.2 ,18.7 ,-12 ,19 
-12.14180543,18.77230413,-12.1 ,18.8 ,-12 ,19 
-12.0499795,18.87573396,-12.0 ,18.9 ,-12 ,19 
-11.95804559,18.97610382,-12.0 ,19.0 ,-12 ,19 
-11.86599292,19.07334893,-11.9 ,19.1 ,-12 ,19 
-11.77380852,19.16741099,-11.8 ,19.2 ,-12 ,19 
-11.68148159,19.25822953,-11.7 ,19.3 ,-12 ,19 
-11.58899918,19.34574193,-11.6 ,19.3 ,-12 ,19 
-11.49635049,19.42988987,-11.5 ,19.4 ,-11 ,19 
-11.40352257,19.51061075,-11.4 ,19.5 ,-11 ,20 
-11.31050353,19.58784408,-11.3 ,19.6 ,-11 ,20 
-11.21728151,19.66153157,-11.2 ,19.7 ,-11 ,20 
-11.12384461,19.73161275,-11.1 ,19.7 ,-11 ,20 
-11.03018098,19.79802283,-11.0 ,19.8 ,-11 ,20 
-10.93627872,19.86070352,-10.9 ,19.9 ,-11 ,20 
-10.84212596,19.9195965,-10.8 ,19.9 ,-11 ,20 
-10.74770975,19.97463699,-10.7 ,20.0 ,-11 ,20 
-10.65302037,20.02576669,-10.7 ,20.0 ,-11 ,20 
-10.55804378,20.07292513,-10.6 ,20.1 ,-11 ,20 
-10.46276918,20.11605184,-10.5 ,20.1 ,-10 ,20 
-10.36718361,20.1550842,-10.4 ,20.2 ,-10 ,20 
-10.27127629,20.18996391,-10.3 ,20.2 ,-10 ,20 
-10.17503425,20.22062834,-10.2 ,20.2 ,-10 ,20 
-10.0784467,20.24701919,-10.1 ,20.2 ,-10 ,20 
-9.981500669,20.26907382,-10.0 ,20.3 ,-10 ,20 
-9.884184294,20.28673178,-9.9 ,20.3 ,-10 ,20 
-9.786486772,20.29993476,-9.8 ,20.3 ,-10 ,20 
-9.688395149,20.30862014,-9.7 ,20.3 ,-10 ,20 
-9.589896465,20.31272529,-9.6 ,20.3 ,-10 ,20 
-9.490981005,20.31219406,-9.5 ,20.3 ,-9 ,20 
-9.391635811,20.30696167,-9.4 ,20.3 ,-9 ,20 
-9.291849005,20.29697198,-9.3 ,20.3 ,-9 ,20 
-9.191607632,20.28216019,-9.2 ,20.3 ,-9 ,20 
-9.090901434,20.26246585,-9.1 ,20.3 ,-9 ,20 
-8.989717453,20.23783281,-9.0 ,20.2 ,-9 ,20 
-8.888044354,20.20819413,-8.9 ,20.2 ,-9 ,20 
-8.785869718,20.17349582,-8.8 ,20.2 ,-9 ,20 
-8.683181669,20.13367093,-8.7 ,20.1 ,-9 ,20 
-8.57996833,20.08866332,-8.6 ,20.1 ,-9 ,20 
-8.476217283,20.03841037,-8.5 ,20.0 ,-8 ,20 
-8.371917732,19.9828516,-8.4 ,20.0 ,-8 ,20 
-8.267056719,19.92192656,-8.3 ,19.9 ,-8 ,20 
-8.161622908,19.85557478,-8.2 ,19.9 ,-8 ,20 
-8.055603881,19.78373796,-8.1 ,19.8 ,-8 ,20 
-7.948987762,19.70634914,-7.9 ,19.7 ,-8 ,20 
-7.841762673,19.62335435,-7.8 ,19.6 ,-8 ,20 
-7.733917277,19.5346888,-7.7 ,19.5 ,-8 ,20 
-7.625438617,19.44029419,-7.6 ,19.4 ,-8 ,19 
-7.516315897,19.34011004,-7.5 ,19.3 ,-8 ,19 
-7.406536159,19.23407374,-7.4 ,19.2 ,-7 ,19 
-7.296087525,19.12212481,-7.3 ,19.1 ,-7 ,19 
-7.18495866,19.00420496,-7.2 ,19.0 ,-7 ,19 
-7.073137146,18.88024941,-7.1 ,18.9 ,-7 ,19 
-6.960611105,18.75020199,-7.0 ,18.8 ,-7 ,19 
-6.847369202,18.6140001,-6.8 ,18.6 ,-7 ,19 
-6.733398478,18.47158325,-6.7 ,18.5 ,-7 ,18 
-6.618687597,18.322891,-6.6 ,18.3 ,-7 ,18 
-6.503224682,18.16786288,-6.5 ,18.2 ,-7 ,18 
-6.386997855,18.00643841,-6.4 ,18.0 ,-6 ,18 
-6.2699947,17.83855497,-6.3 ,17.8 ,-6 ,18 
-6.15220334,17.66415427,-6.2 ,17.7 ,-6 ,18 
-6.033612437,17.48317367,-6.0 ,17.5 ,-6 ,17 
-5.914209574,17.29555486,-5.9 ,17.3 ,-6 ,17 
-5.793982335,17.1012374,-5.8 ,17.1 ,-6 ,17 
-5.672919922,16.90015648,-5.7 ,16.9 ,-6 ,17 
-5.551009378,16.69225596,-5.6 ,16.7 ,-6 ,17 
-5.428239367,16.47747323,-5.4 ,16.5 ,-5 ,16 
-5.304598011,16.25574781,-5.3 ,16.3 ,-5 ,16 
-5.180072893,16.02701923,-5.2 ,16.0 ,-5 ,16 
-5.117474996,15.9100109,-5.1 ,15.9 ,-5 ,16 
-5.083943145,15.67844025,-5.1 ,15.7 ,-5 ,16 
-5.01688144,15.23331798,-5.0 ,15.2 ,-5 ,15 
-4.949817577,14.81189369,-4.9 ,14.8 ,-5 ,15 
-4.882743995,14.41376898,-4.9 ,14.4 ,-5 ,14 
-4.815653678,14.03854433,-4.8 ,14.0 ,-5 ,14 
-4.748539067,13.68582133,-4.7 ,13.7 ,-5 ,14 
-4.681393953,13.35520155,-4.7 ,13.4 ,-5 ,13 
-4.614210239,13.0462855,-4.6 ,13.0 ,-5 ,13 
-4.546981176,12.75867582,-4.5 ,12.8 ,-5 ,13 
-4.479699476,12.49197302,-4.5 ,12.5 ,-4 ,12 
-4.429199533,12.30542639,-4.4 ,12.3 ,-4 ,12 
-4.39551293,12.18738885,-4.4 ,12.2 ,-4 ,12 
-4.36180905,12.07435264,-4.4 ,12.1 ,-4 ,12 
-4.328087085,11.96626916,-4.3 ,12.0 ,-4 ,12 
-4.294346225,11.86308983,-4.3 ,11.9 ,-4 ,12 
-4.26058539,11.76476283,-4.3 ,11.8 ,-4 ,12 
-4.226804039,11.67123848,-4.2 ,11.7 ,-4 ,12 
-4.193001094,11.58246819,-4.2 ,11.6 ,-4 ,12 
-4.159175475,11.49840231,-4.2 ,11.5 ,-4 ,11 
-4.125326641,11.41898899,-4.1 ,11.4 ,-4 ,11 
-4.091453514,11.34418074,-4.1 ,11.3 ,-4 ,11 
-4.057555282,11.27392572,-4.1 ,11.3 ,-4 ,11 
-4.023630867,11.20817536,-4.0 ,11.2 ,-4 ,11 
-3.989679459,11.14687889,-4.0 ,11.1 ,-4 ,11 
-3.955700247,11.08998773,-4.0 ,11.1 ,-4 ,11 
-3.921692153,11.03745222,-3.9 ,11.0 ,-4 ,11 
-3.887654636,10.98922053,-3.9 ,11.0 ,-4 ,11 
-3.853586347,10.94524407,-3.9 ,10.9 ,-4 ,11 
-3.819487015,10.90547316,-3.8 ,10.9 ,-4 ,11 
-3.785355021,10.86985816,-3.8 ,10.9 ,-4 ,11 
-3.751189826,10.83834938,-3.8 ,10.8 ,-4 ,11 
-3.716990888,10.81089499,-3.7 ,10.8 ,-4 ,11 
-3.68275659,10.7874475,-3.7 ,10.8 ,-4 ,11 
-3.64848666,10.76795615,-3.6 ,10.8 ,-4 ,11 
-3.61417975,10.75237128,-3.6 ,10.8 ,-4 ,11 
-3.579835318,10.74064322,-3.6 ,10.7 ,-4 ,11 
-3.545452017,10.73272229,-3.5 ,10.7 ,-4 ,11 
-3.511029575,10.72855776,-3.5 ,10.7 ,-4 ,11 
-3.476566643,10.72809995,-3.5 ,10.7 ,-3 ,11 
-3.442062681,10.73130028,-3.4 ,10.7 ,-3 ,11 
-3.407516339,10.73810692,-3.4 ,10.7 ,-3 ,11 
-3.372927079,10.74847236,-3.4 ,10.7 ,-3 ,11 
-3.338294089,10.76234478,-3.3 ,10.8 ,-3 ,11 
